date,time,event name,place,contact mobile,email
2025-03-20,10:00 AM,டிசைன் திங்கிங் பணிமனை,மெயின் ஹால்,9876543210,dt@college.edu
2025-03-22,02:00 PM,ஏஐ கருத்தரங்கு,ஆடிட்டோரியம்,9123456780,ai@college.edu
2025-03-25,11:30 AM,கலாச்சார விழா,திறந்த வெளி,9000000001,culturals123@college.edu
2025-03-20,10:00 AM,டிசைன் திங்கிங் பணிமனை,மெயின் ஹால்,9876543210,dt@college.edu
2025-03-25,11:30 AM,கலாச்சார விழா,திறந்த வெளி,9000000001,culturals123@college.edu
2026-03-20,10:00,Yoga for Seniors,Community Hall,9876543210,wellness@seniorhub.in
2026-03-21,17:30,Classical Music Evening,Auditorium,9876543211,music@seniorhub.in
2026-03-22,09:00,Health Check-up Camp,Clinic Grounds,9876543212,health@seniorhub.in
2026-03-23,15:00,Storytelling Circle,Library Lounge,9876543213,stories@seniorhub.in
2026-03-24,11:00,Art & Craft Workshop,Activity Room,9876543214,art@seniorhub.in
2026-03-25,18:00,Movie Night: Tamil Classics,Mini Theatre,9876543215,movies@seniorhub.in
2026-03-26,08:30,Morning Nature Walk,Lake Trail,9876543216,nature@seniorhub.in
2026-03-27,16:00,Digital Literacy Session,Tech Lab,9876543217,tech@seniorhub.in
2026-03-28,14:00,Traditional Cooking Demo,Cafeteria,9876543218,cooking@seniorhub.in
2026-03-29,10:30,Ayurveda Talk & Tea,Wellness Lounge,9876543219,ayurveda@seniorhub.in
